Team,Avg..1,0.1,1.1,2.1,3.1,4+.1,CV_Goals_HT (%),Classificação CV
A. Tucuman,0.43,4,3,-,-,-,158.11%,alto
Aldosivi,0.50,3,3,-,-,-,141.42%,alto
Argentinos Jrs,0.17,5,1,-,-,-,152.75%,alto
Banfield,0.57,3,4,-,-,-,indefinido,indefinido
Barracas C.,0.50,3,3,-,-,-,152.75%,alto
Belgrano,0.67,3,2,1,-,-,223.61%,alto
Boca Juniors,0.50,4,1,1,-,-,111.80%,alto
Central Cordoba,0.33,4,2,-,-,-,223.61%,alto
D. Riestra,0.00,7,-,-,-,-,86.60%,alto
Defensa y J.,0.88,5,1,1,-,1,141.42%,alto
Estudiantes,0.25,6,2,-,-,-,173.21%,alto
Gimnasia,0.57,3,4,-,-,-,158.11%,alto
Godoy Cruz,1.00,3,3,-,-,1,127.48%,alto
Huracan,0.57,3,4,-,-,-,63.25%,alto
I. Rivadavia,0.29,5,2,-,-,-,183.71%,alto
Independiente,0.33,4,2,-,-,-,111.80%,alto
Instituto,0.38,5,3,-,-,-,264.58%,alto
Lanus,0.29,6,-,1,-,-,244.95%,alto
Newells,1.00,1,5,1,-,-,97.98%,alto
Platense,0.14,6,1,-,-,-,127.48%,alto
Racing Club,0.50,4,4,-,-,-,88.19%,alto
River Plate,0.29,5,2,-,-,-,158.11%,alto
Rosario Central,0.25,6,2,-,-,-,141.42%,alto
San Lorenzo,0.14,6,1,-,-,-,244.95%,alto
Sarmiento,1.43,2,2,2,-,1,244.95%,alto
SM San Juan,0.17,5,1,-,-,-,223.61%,alto
T. de Cordoba,0.00,7,-,-,-,-,244.95%,alto
Tigre,0.57,3,4,-,-,-,127.48%,alto
Union Santa Fe,1.00,2,3,-,1,-,indefinido,indefinido
Velez Sarsfield,0.86,3,2,2,-,-,158.11%,alto
,,,,,,,indefinido,indefinido
League avg.,0.49,61%,33%,4%,0%,1%,indefinido,indefinido
A. Quilmes,0.83,2,3,1,-,-,100.00%,alto
Acassuso,0.80,2,2,1,-,-,122.47%,alto
Argentino Merlo,0.17,5,1,-,-,-,223.61%,alto
Brown de A.,0.33,4,2,-,-,-,100.00%,alto
Comunicaciones,0.40,3,2,-,-,-,93.54%,alto
D. Armenio,0.20,4,1,-,-,-,200.00%,alto
D. Laferrere,0.80,2,2,1,-,-,indefinido,indefinido
Deportivo Merlo,0.67,3,2,1,-,-,152.75%,alto
Dock Sud,0.50,3,3,-,-,-,100.00%,alto
Excursionistas,0.67,3,2,1,-,-,223.61%,alto
Fenix,1.00,2,1,2,-,-,81.65%,alto
Flandria,1.00,3,1,1,1,-,223.61%,alto
Liniers,0.80,2,2,1,-,-,133.33%,alto
Midland,0.33,4,2,-,-,-,141.42%,alto
Real Pilar,0.33,5,-,1,-,-,141.42%,alto
S. Italiano,0.20,4,1,-,-,-,indefinido,indefinido
Sacachispas,0.17,5,1,-,-,-,223.61%,alto
