Team_Away,Avg..1,0.1,1.1,2.1,3.1,4+.1,Total_Jogos,% Com Gols,% Sem Gols,Classificação Ofensiva
A. Tucuman,0.50,4.0,4.0,0.0,0.0,0.0,8.0,50.0,50.0,Baixa consistência ofensiva
Aldosivi,0.50,4.0,4.0,0.0,0.0,0.0,8.0,50.0,50.0,Baixa consistência ofensiva
Argentinos Jrs,0.29,5.0,2.0,0.0,0.0,0.0,7.0,28.57,71.43,Baixa consistência ofensiva
Banfield,0.63,3.0,5.0,0.0,0.0,0.0,8.0,62.5,37.5,Média consistência ofensiva
Barracas C.,0.63,4.0,3.0,1.0,0.0,0.0,8.0,50.0,50.0,Baixa consistência ofensiva
Belgrano,0.63,4.0,3.0,1.0,0.0,0.0,8.0,50.0,50.0,Baixa consistência ofensiva
Boca Juniors,0.75,4.0,2.0,2.0,0.0,0.0,8.0,50.0,50.0,Baixa consistência ofensiva
Central Cordoba,0.57,4.0,2.0,1.0,0.0,0.0,7.0,42.86,57.14,Baixa consistência ofensiva
D. Riestra,0.00,8.0,0.0,0.0,0.0,0.0,8.0,0.0,100.0,Baixa consistência ofensiva
Defensa y J.,0.89,5.0,2.0,1.0,0.0,1.0,9.0,44.44,55.56,Baixa consistência ofensiva
Estudiantes,0.44,6.0,2.0,1.0,0.0,0.0,9.0,33.33,66.67,Baixa consistência ofensiva
Gimnasia,0.50,4.0,4.0,0.0,0.0,0.0,8.0,50.0,50.0,Baixa consistência ofensiva
Godoy Cruz,1.00,3.0,4.0,0.0,0.0,1.0,8.0,62.5,37.5,Média consistência ofensiva
Huracan,0.63,3.0,5.0,0.0,0.0,0.0,8.0,62.5,37.5,Média consistência ofensiva
I. Rivadavia,0.25,6.0,2.0,0.0,0.0,0.0,8.0,25.0,75.0,Baixa consistência ofensiva
Independiente,0.50,4.0,4.0,0.0,0.0,0.0,8.0,50.0,50.0,Baixa consistência ofensiva
Instituto,0.44,5.0,4.0,0.0,0.0,0.0,9.0,44.44,55.56,Baixa consistência ofensiva
Lanus,0.25,7.0,0.0,1.0,0.0,0.0,8.0,12.5,87.5,Baixa consistência ofensiva
Newells,0.88,2.0,5.0,1.0,0.0,0.0,8.0,75.0,25.0,Alta consistência ofensiva
Platense,0.13,7.0,1.0,0.0,0.0,0.0,8.0,12.5,87.5,Baixa consistência ofensiva
Racing Club,0.44,5.0,4.0,0.0,0.0,0.0,9.0,44.44,55.56,Baixa consistência ofensiva
River Plate,0.29,5.0,2.0,0.0,0.0,0.0,7.0,28.57,71.43,Baixa consistência ofensiva
Rosario Central,0.22,7.0,2.0,0.0,0.0,0.0,9.0,22.22,77.78,Baixa consistência ofensiva
San Lorenzo,0.25,6.0,2.0,0.0,0.0,0.0,8.0,25.0,75.0,Baixa consistência ofensiva
Sarmiento,1.25,3.0,2.0,2.0,0.0,1.0,8.0,62.5,37.5,Média consistência ofensiva
SM San Juan,0.14,6.0,1.0,0.0,0.0,0.0,7.0,14.29,85.71,Baixa consistência ofensiva
T. de Cordoba,0.00,8.0,0.0,0.0,0.0,0.0,8.0,0.0,100.0,Baixa consistência ofensiva
Tigre,0.50,4.0,4.0,0.0,0.0,0.0,8.0,50.0,50.0,Baixa consistência ofensiva
Union Santa Fe,1.00,2.0,4.0,0.0,1.0,0.0,7.0,71.43,28.57,Alta consistência ofensiva
Velez Sarsfield,1.13,3.0,2.0,2.0,1.0,0.0,8.0,62.5,37.5,Média consistência ofensiva
,,0.0,0.0,0.0,0.0,0.0,0.0,,,Baixa consistência ofensiva
League avg.,0.52,0.0,0.0,0.0,0.0,0.0,0.0,,,Baixa consistência ofensiva
A. Quilmes,0.71,3.0,3.0,1.0,0.0,0.0,7.0,57.14,42.86,Baixa consistência ofensiva
Acassuso,0.71,3.0,3.0,1.0,0.0,0.0,7.0,57.14,42.86,Baixa consistência ofensiva
Argentino Merlo,0.14,6.0,1.0,0.0,0.0,0.0,7.0,14.29,85.71,Baixa consistência ofensiva
Brown de A.,0.29,5.0,2.0,0.0,0.0,0.0,7.0,28.57,71.43,Baixa consistência ofensiva
Comunicaciones,0.29,5.0,2.0,0.0,0.0,0.0,7.0,28.57,71.43,Baixa consistência ofensiva
D. Armenio,0.29,5.0,2.0,0.0,0.0,0.0,7.0,28.57,71.43,Baixa consistência ofensiva
D. Laferrere,0.57,4.0,2.0,1.0,0.0,0.0,7.0,42.86,57.14,Baixa consistência ofensiva
Deportivo Merlo,0.50,5.0,2.0,1.0,0.0,0.0,8.0,37.5,62.5,Baixa consistência ofensiva
Dock Sud,0.63,4.0,3.0,1.0,0.0,0.0,8.0,50.0,50.0,Baixa consistência ofensiva
Excursionistas,0.57,4.0,2.0,1.0,0.0,0.0,7.0,42.86,57.14,Baixa consistência ofensiva
Fenix,1.00,2.0,3.0,2.0,0.0,0.0,7.0,71.43,28.57,Alta consistência ofensiva
Flandria,1.00,3.0,2.0,1.0,1.0,0.0,7.0,57.14,42.86,Baixa consistência ofensiva
Liniers,0.57,4.0,2.0,1.0,0.0,0.0,7.0,42.86,57.14,Baixa consistência ofensiva
Midland,0.29,5.0,2.0,0.0,0.0,0.0,7.0,28.57,71.43,Baixa consistência ofensiva
Real Pilar,0.29,6.0,0.0,1.0,0.0,0.0,7.0,14.29,85.71,Baixa consistência ofensiva
S. Italiano,0.14,6.0,1.0,0.0,0.0,0.0,7.0,14.29,85.71,Baixa consistência ofensiva
Sacachispas,0.50,5.0,2.0,1.0,0.0,0.0,8.0,37.5,62.5,Baixa consistência ofensiva
SM Burzaco,0.57,4.0,2.0,1.0,0.0,0.0,7.0,42.86,57.14,Baixa consistência ofensiva
UAI Urquiza,0.43,5.0,1.0,1.0,0.0,0.0,7.0,28.57,71.43,Baixa consistência ofensiva
V. San Carlos,1.00,3.0,2.0,1.0,1.0,0.0,7.0,57.14,42.86,Baixa consistência ofensiva
Villa Dalmine,0.14,6.0,1.0,0.0,0.0,0.0,7.0,14.29,85.71,Baixa consistência ofensiva
,,0.0,0.0,0.0,0.0,0.0,0.0,,,Baixa consistência ofensiva
League avg.,0.51,0.0,0.0,0.0,0.0,0.0,0.0,,,Baixa consistência ofensiva
Alashkert,0.93,5.0,5.0,4.0,0.0,0.0,14.0,64.29,35.71,Média consistência ofensiva
Ararat Yerevan,0.75,6.0,3.0,3.0,0.0,0.0,12.0,50.0,50.0,Baixa consistência ofensiva
Ararat-Armenia,0.62,7.0,4.0,2.0,0.0,0.0,13.0,46.15,53.85,Baixa consistência ofensiva
BKMA,1.08,3.0,7.0,2.0,1.0,0.0,13.0,76.92,23.08,Alta consistência ofensiva
Gandzasar,0.93,7.0,4.0,1.0,1.0,1.0,14.0,50.0,50.0,Baixa consistência ofensiva
Noah,0.23,10.0,3.0,0.0,0.0,0.0,13.0,23.08,76.92,Baixa consistência ofensiva
Pyunik,0.43,9.0,4.0,1.0,0.0,0.0,14.0,35.71,64.29,Baixa consistência ofensiva
Shirak,0.79,8.0,2.0,3.0,1.0,0.0,14.0,42.86,57.14,Baixa consistência ofensiva
Urartu,0.29,10.0,4.0,0.0,0.0,0.0,14.0,28.57,71.43,Baixa consistência ofensiva
