4+,3,2,1,0,Avg.,Team_Home,Total_Jogos,% Com Gols,% Sem Gols,Classificação Ofensiva
1.0,0.0,0.0,4.0,2.0,1.14,A. Tucuman,7.0,71.43,28.57,Alta consistência ofensiva
0.0,0.0,1.0,2.0,5.0,0.50,Aldosivi,8.0,37.5,62.5,Baixa consistência ofensiva
1.0,0.0,2.0,2.0,4.0,1.11,Argentinos Jrs,9.0,55.56,44.44,Média consistência ofensiva
0.0,0.0,2.0,3.0,3.0,0.88,Banfield,8.0,62.5,37.5,Média consistência ofensiva
0.0,0.0,0.0,6.0,2.0,0.75,Barracas C.,8.0,75.0,25.0,Alta consistência ofensiva
0.0,0.0,0.0,5.0,3.0,0.63,Belgrano,8.0,62.5,37.5,Média consistência ofensiva
0.0,0.0,1.0,3.0,4.0,0.63,Boca Juniors,8.0,50.0,50.0,Média consistência ofensiva
0.0,0.0,1.0,3.0,5.0,0.56,Central Cordoba,9.0,44.44,55.56,Baixa consistência ofensiva
0.0,0.0,0.0,0.0,7.0,0.00,D. Riestra,7.0,0.0,100.0,Baixa consistência ofensiva
0.0,0.0,0.0,1.0,6.0,0.14,Defensa y J.,7.0,14.29,85.71,Baixa consistência ofensiva
0.0,1.0,0.0,2.0,4.0,0.71,Estudiantes,7.0,42.86,57.14,Baixa consistência ofensiva
0.0,0.0,0.0,3.0,4.0,0.43,Gimnasia,7.0,42.86,57.14,Baixa consistência ofensiva
0.0,0.0,0.0,2.0,6.0,0.25,Godoy Cruz,8.0,25.0,75.0,Baixa consistência ofensiva
0.0,0.0,0.0,3.0,4.0,0.43,Huracan,7.0,42.86,57.14,Baixa consistência ofensiva
0.0,0.0,0.0,3.0,5.0,0.38,I. Rivadavia,8.0,37.5,62.5,Baixa consistência ofensiva
1.0,0.0,1.0,2.0,4.0,1.00,Independiente,8.0,50.0,50.0,Média consistência ofensiva
0.0,0.0,0.0,3.0,4.0,0.43,Instituto,7.0,42.86,57.14,Baixa consistência ofensiva
0.0,0.0,1.0,2.0,5.0,0.50,Lanus,8.0,37.5,62.5,Baixa consistência ofensiva
0.0,0.0,1.0,2.0,5.0,0.50,Newells,8.0,37.5,62.5,Baixa consistência ofensiva
0.0,0.0,0.0,2.0,6.0,0.25,Platense,8.0,25.0,75.0,Baixa consistência ofensiva
0.0,0.0,0.0,4.0,3.0,0.57,Racing Club,7.0,57.14,42.86,Média consistência ofensiva
0.0,0.0,1.0,1.0,6.0,0.38,River Plate,8.0,25.0,75.0,Baixa consistência ofensiva
0.0,0.0,1.0,4.0,1.0,1.00,Rosario Central,6.0,83.33,16.67,Alta consistência ofensiva
0.0,0.0,0.0,3.0,5.0,0.38,San Lorenzo,8.0,37.5,62.5,Baixa consistência ofensiva
0.0,0.0,0.0,1.0,6.0,0.14,Sarmiento,7.0,14.29,85.71,Baixa consistência ofensiva
0.0,0.0,0.0,1.0,7.0,0.13,SM San Juan,8.0,12.5,87.5,Baixa consistência ofensiva
0.0,0.0,0.0,3.0,4.0,0.43,T. de Cordoba,7.0,42.86,57.14,Baixa consistência ofensiva
0.0,0.0,1.0,2.0,4.0,0.57,Tigre,7.0,42.86,57.14,Baixa consistência ofensiva
0.0,0.0,0.0,4.0,5.0,0.44,Union Santa Fe,9.0,44.44,55.56,Baixa consistência ofensiva
0.0,0.0,0.0,0.0,8.0,0.00,Velez Sarsfield,8.0,0.0,100.0,Baixa consistência ofensiva
0.0,0.0,0.0,0.0,0.0,,,0.0,,,Baixa consistência ofensiva
0.0,0.0,0.0,0.0,0.0,0.51,League avg.,0.0,,,Baixa consistência ofensiva
0.0,0.0,1.0,1.0,5.0,0.43,A. Quilmes,7.0,28.57,71.43,Baixa consistência ofensiva
0.0,0.0,1.0,2.0,3.0,0.67,Acassuso,6.0,50.0,50.0,Média consistência ofensiva
0.0,0.0,0.0,2.0,5.0,0.29,Argentino Merlo,7.0,28.57,71.43,Baixa consistência ofensiva
0.0,0.0,0.0,1.0,5.0,0.17,Brown de A.,6.0,16.67,83.33,Baixa consistência ofensiva
0.0,0.0,1.0,2.0,3.0,0.67,Comunicaciones,6.0,50.0,50.0,Média consistência ofensiva
0.0,0.0,1.0,2.0,3.0,0.67,D. Armenio,6.0,50.0,50.0,Média consistência ofensiva
0.0,1.0,1.0,1.0,3.0,1.00,D. Laferrere,6.0,50.0,50.0,Média consistência ofensiva
0.0,0.0,1.0,0.0,5.0,0.33,Deportivo Merlo,6.0,16.67,83.33,Baixa consistência ofensiva
0.0,0.0,2.0,2.0,2.0,1.00,Dock Sud,6.0,66.67,33.33,Média consistência ofensiva
0.0,0.0,1.0,3.0,2.0,0.83,Excursionistas,6.0,66.67,33.33,Média consistência ofensiva
0.0,0.0,0.0,1.0,5.0,0.17,Fenix,6.0,16.67,83.33,Baixa consistência ofensiva
