4+,3,2,1,0,Avg.,Team_Home,Avg.,0,1,2,3,4+
1,-,-,4,3,1.00,A. Tucuman,0.63,4,3,1,-,-
-,-,1,2,5,0.50,Aldosivi,1.25,2,2,4,-,-
1,-,2,2,4,1.11,Argentinos Jrs,0.11,8,1,-,-,-
-,-,2,3,3,0.88,Banfield,0.00,8,-,-,-,-
-,-,-,6,2,0.75,Barracas C.,0.38,5,3,-,-,-
-,-,-,5,3,0.63,Belgrano,0.88,3,4,-,1,-
-,-,1,3,4,0.63,Boca Juniors,0.13,7,1,-,-,-
-,-,1,3,5,0.56,Central Cordoba,0.33,7,1,1,-,-
-,-,-,1,7,0.13,D. Riestra,0.00,8,-,-,-,-
-,-,-,1,6,0.14,Defensa y J.,0.00,7,-,-,-,-
-,1,-,2,4,0.71,Estudiantes,0.43,4,3,-,-,-
-,-,-,3,5,0.38,Gimnasia,0.25,6,2,-,-,-
-,-,-,2,6,0.25,Godoy Cruz,0.38,6,1,1,-,-
-,-,-,3,5,0.38,Huracan,0.25,6,2,-,-,-
-,-,-,3,5,0.38,I. Rivadavia,0.63,5,1,2,-,-
1,-,1,2,4,1.00,Independiente,0.13,7,1,-,-,-
-,-,-,3,4,0.43,Instituto,0.29,5,2,-,-,-
-,-,1,2,5,0.50,Lanus,0.25,6,2,-,-,-
-,-,1,2,5,0.50,Newells,0.25,6,2,-,-,-
-,-,-,2,6,0.25,Platense,0.38,5,3,-,-,-
-,-,-,4,3,0.57,Racing Club,0.43,5,1,1,-,-
-,1,1,1,6,0.67,River Plate,0.44,5,4,-,-,-
-,-,1,5,1,1.00,Rosario Central,0.29,5,2,-,-,-
-,-,-,3,5,0.38,San Lorenzo,0.38,5,3,-,-,-
-,-,-,2,6,0.25,Sarmiento,0.38,5,3,-,-,-
-,-,-,1,8,0.11,SM San Juan,0.44,6,2,1,-,-
-,-,-,4,4,0.50,T. de Cordoba,0.63,4,3,1,-,-
-,-,1,3,4,0.63,Tigre,0.25,6,2,-,-,-
-,-,-,4,5,0.44,Union Santa Fe,0.44,5,4,-,-,-
-,-,-,-,8,0.00,Velez Sarsfield,0.50,5,2,1,-,-
,,,,,,,,,,,,
1%,1%,5%,34%,59%,0.52,League avg.,0.37,69%,25%,5%,0%,0%
-,-,1,2,5,0.50,A. Quilmes,0.38,5,3,-,-,-
-,-,1,2,4,0.57,Acassuso,0.00,7,-,-,-,-
-,-,-,2,6,0.25,Argentino Merlo,0.38,5,3,-,-,-
-,-,-,1,6,0.14,Brown de A.,0.29,6,-,1,-,-
-,-,1,2,4,0.57,Comunicaciones,0.14,6,1,-,-,-
-,-,1,2,4,0.57,D. Armenio,0.71,3,3,1,-,-
-,1,1,1,4,0.86,D. Laferrere,0.29,5,2,-,-,-
-,-,1,-,6,0.29,Deportivo Merlo,0.43,4,3,-,-,-
-,-,2,2,3,0.86,Dock Sud,0.57,3,4,-,-,-
-,-,1,4,2,0.86,Excursionistas,0.00,7,-,-,-,-
-,-,-,1,6,0.14,Fenix,0.57,4,2,1,-,-
-,-,-,1,6,0.14,Flandria,0.29,5,2,-,-,-
-,-,1,1,5,0.43,Liniers,0.14,6,1,-,-,-
-,-,1,2,4,0.57,Midland,0.00,7,-,-,-,-
-,-,2,2,3,0.86,Real Pilar,0.43,4,3,-,-,-
-,-,-,1,6,0.14,S. Italiano,0.14,6,1,-,-,-
-,-,-,2,5,0.29,Sacachispas,0.57,4,2,1,-,-
-,-,-,4,3,0.57,SM Burzaco,0.14,6,1,-,-,-
-,-,-,3,4,0.43,UAI Urquiza,0.57,4,2,1,-,-
-,-,2,3,2,1.00,V. San Carlos,0.29,5,2,-,-,-
-,1,-,2,5,0.63,Villa Dalmine,0.75,4,2,2,-,-
,,,,,,,,,,,,
0%,1%,10%,27%,62%,0.51,League avg.,0.34,71%,25%,5%,0%,0%
-,-,-,3,10,0.23,Alashkert,0.69,6,6,-,1,-
-,-,2,5,7,0.64,Ararat Yerevan,0.79,5,7,2,-,-
-,-,4,7,2,1.15,Ararat-Armenia,0.46,8,4,1,-,-
-,-,1,6,7,0.57,BKMA,0.79,7,4,2,1,-
-,-,-,3,9,0.25,Gandzasar,1.17,4,3,4,1,-
-,2,7,2,3,1.57,Noah,0.29,10,4,-,-,-
-,1,1,4,8,0.64,Pyunik,0.43,8,6,-,-,-
-,-,1,2,11,0.29,Shirak,0.36,11,1,2,-,-
1,1,-,6,5,1.15,Urartu,0.38,9,3,1,-,-
2,-,3,4,5,1.29,Van,0.71,7,4,3,-,-
-,-,-,5,8,0.38,West Armenia,0.92,6,4,2,-,1
,,,,,,,,,,,,
2%,3%,13%,32%,51%,0.75,League avg.,0.63,55%,31%,11%,2%,1%
-,1,4,4,4,1.15,Adelaide Utd,0.85,4,7,2,-,-
-,2,1,5,5,1.00,Auckland,0.38,10,2,-,1,-
-,-,2,2,9,0.46,Brisbane Roar,0.69,5,7,1,-,-
-,-,2,3,8,0.54,Central Coast,1.00,5,5,1,2,-
1,-,-,6,6,0.85,Macarthur FC,0.77,7,2,4,-,-
-,1,-,6,6,0.69,Melbourne City,0.38,10,2,-,1,-
-,-,3,5,5,0.85,Melbourne V.,0.38,8,5,-,-,-
-,-,2,4,7,0.62,Newcastle Jets,0.92,5,6,1,-,1
-,-,1,4,8,0.46,Perth Glory,0.92,5,5,2,1,-
-,-,4,7,2,1.15,Sydney FC,1.08,4,5,3,1,-
-,-,-,5,8,0.38,Wellington,0.46,8,4,1,-,-
-,-,3,6,4,0.92,Western United,0.46,9,2,2,-,-
-,-,5,4,4,1.08,WS Wanderers,1.08,5,4,2,2,-
,,,,,,,,,,,,
1%,2%,16%,36%,45%,0.78,League avg.,0.72,50%,33%,11%,5%,1%
-,-,1,5,5,0.64,A. Klagenfurt,0.64,5,5,1,-,-
-,-,-,3,8,0.27,Altach,0.55,5,6,-,-,-
-,-,1,4,6,0.55,Austria Wien,0.64,5,5,1,-,-
-,-,1,6,4,0.73,BW Linz,0.55,5,6,-,-,-
-,1,1,2,7,0.64,Grazer AK,0.73,6,3,1,1,-
-,-,-,2,9,0.18,Hartberg,0.55,5,6,-,-,-
-,-,1,4,6,0.55,LASK Linz,0.73,4,6,1,-,-
-,1,2,7,1,1.27,Rapid Wien,0.36,8,2,1,-,-
-,-,3,3,5,0.82,Salzburg,0.27,8,3,-,-,-
1,-,3,4,3,1.27,Sturm Graz,0.36,8,2,1,-,-
-,-,-,3,8,0.27,Tirol,0.36,7,4,-,-,-
-,1,1,1,8,0.55,Wolfsberger AC,0.36,7,4,-,-,-
,,,,,,,,,,,,
1%,2%,11%,33%,53%,0.64,League avg.,0.51,55%,39%,5%,1%,0%
-,-,-,4,10,0.29,A. Lustenau,0.64,7,5,2,-,-
