League,Team_Home,GP,0-15,16-30,31-45,46-60,61-75,76-90,,1st H.,2nd H.,,AVG_Scored_Home,AVG_Conceded_Home
Argentina - Liga Profesional,A. Tucuman,7,1-2,3-1,4-2,1-1,1-2,2-2,,8-5,4-5,,45 min.,47 min.
Argentina - Liga Profesional,Aldosivi,8,2-4,1-3,1-3,1-1,2-1,2-6,,4-10,5-8,,48 min.,47 min.
Argentina - Liga Profesional,Argentinos Jrs,9,3-1,4-0,3-0,3-2,2-0,1-1,,10-1,6-3,,39 min.,52 min.
Argentina - Liga Profesional,Banfield,8,3-0,1-0,3-0,1-0,1-1,0-5,,7-0,2-6,,31 min.,82 min.
Argentina - Liga Profesional,Barracas C.,8,1-0,4-2,1-1,2-0,1-3,4-4,,6-3,7-7,,51 min.,64 min.
Argentina - Liga Profesional,Belgrano,8,1-1,1-2,3-4,2-1,2-1,0-1,,5-7,4-3,,41 min.,38 min.
Argentina - Liga Profesional,Boca Juniors,8,2-0,1-1,2-0,4-0,2-1,3-0,,5-1,9-1,,49 min.,46 min.
Argentina - Liga Profesional,Central Cordoba,9,0-0,1-1,4-2,1-1,3-1,3-3,,5-3,7-5,,58 min.,57 min.
Argentina - Liga Profesional,D. Riestra,7,0-0,0-0,0-0,1-1,0-0,1-0,,0-0,2-1,,74 min.,49 min.
Argentina - Liga Profesional,Defensa y J.,7,0-0,0-0,1-0,2-2,1-2,2-3,,1-0,5-7,,62 min.,72 min.
Argentina - Liga Profesional,Estudiantes,7,2-0,2-0,1-3,1-1,2-0,2-1,,5-3,5-2,,46 min.,52 min.
Argentina - Liga Profesional,Gimnasia,7,0-1,1-0,2-1,0-1,2-1,1-3,,3-2,3-5,,54 min.,60 min.
Argentina - Liga Profesional,Godoy Cruz,8,0-0,0-2,2-1,0-1,1-1,0-0,,2-3,1-2,,49 min.,41 min.
Argentina - Liga Profesional,Huracan,7,1-0,2-1,0-1,3-0,2-1,3-1,,3-2,8-2,,55 min.,49 min.
Argentina - Liga Profesional,I. Rivadavia,8,0-1,2-2,1-2,2-2,3-1,4-2,,3-5,9-5,,60 min.,49 min.
Argentina - Liga Profesional,Independiente,8,3-0,2-1,3-0,2-0,2-0,4-1,,8-1,8-1,,46 min.,49 min.
Argentina - Liga Profesional,Instituto,7,0-0,0-0,3-2,2-1,3-0,3-0,,3-2,8-1,,62 min.,45 min.
Argentina - Liga Profesional,Lanus,8,1-1,2-1,1-0,1-0,3-0,1-3,,4-2,5-3,,49 min.,52 min.
Argentina - Liga Profesional,Newells,8,1-0,1-1,2-1,0-0,0-1,2-1,,4-2,2-2,,48 min.,54 min.
Argentina - Liga Profesional,Platense,8,2-1,0-1,0-1,3-0,0-0,2-2,,2-3,5-2,,49 min.,47 min.
Argentina - Liga Profesional,Racing Club,7,0-0,2-3,2-0,2-1,3-0,5-1,,4-3,10-2,,61 min.,42 min.
Argentina - Liga Profesional,River Plate,8,0-2,2-0,1-1,1-1,1-0,5-2,,3-3,7-3,,62 min.,47 min.
Argentina - Liga Profesional,Rosario Central,6,3-1,0-0,3-1,3-1,2-0,2-1,,6-2,7-2,,47 min.,45 min.
Argentina - Liga Profesional,San Lorenzo,8,1-1,1-1,1-1,1-1,1-1,4-2,,3-3,6-4,,60 min.,53 min.
Argentina - Liga Profesional,Sarmiento,7,0-1,0-1,1-1,1-1,1-0,2-1,,1-3,4-2,,68 min.,44 min.
Argentina - Liga Profesional,SM San Juan,8,0-2,0-0,1-1,2-2,0-3,1-0,,1-3,3-5,,58 min.,45 min.
Argentina - Liga Profesional,T. de Cordoba,7,1-0,1-1,1-3,0-2,2-1,1-1,,3-4,3-4,,48 min.,48 min.
Argentina - Liga Profesional,Tigre,7,3-1,0-0,1-0,2-0,1-1,0-2,,4-1,3-3,,34 min.,64 min.
Argentina - Liga Profesional,Union Santa Fe,9,1-3,1-1,2-0,0-2,0-0,4-0,,4-4,4-2,,58 min.,22 min.
Argentina - Liga Profesional,Velez Sarsfield,8,0-1,0-3,0-0,0-0,0-1,2-2,,0-4,2-3,,78 min.,45 min.
Argentina - Liga Profesional,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,
Argentina - Primera B,Home,GP,0-15,16-30,31-45,46-60,61-75,76-90,,1st H.,2nd H.,,AVG min. scored,AVG min. conceded
Argentina - Primera B,A. Quilmes,7,1-0,1-2,1-1,1-1,3-1,2-0,,3-3,6-2,,58 min.,38 min.
Argentina - Primera B,Acassuso,6,2-0,1-0,1-0,0-1,2-4,0-1,,4-0,2-6,,32 min.,70 min.
Argentina - Primera B,Argentino Merlo,7,0-0,1-0,1-2,2-1,2-0,0-3,,2-2,4-4,,51 min.,61 min.
Argentina - Primera B,Brown de A.,6,0-0,1-0,0-2,0-2,0-1,3-0,,1-2,3-3,,72 min.,52 min.
Argentina - Primera B,Comunicaciones,6,1-1,3-0,0-0,1-2,1-1,2-2,,4-1,4-5,,45 min.,61 min.
Argentina - Primera B,D. Armenio,6,1-3,3-0,0-1,1-1,0-0,1-2,,4-4,2-3,,36 min.,41 min.
Argentina - Primera B,D. Laferrere,6,2-1,3-1,1-0,1-2,2-1,2-3,,6-2,5-6,,43 min.,58 min.
Argentina - Primera B,Deportivo Merlo,6,1-0,1-1,0-1,2-1,0-1,1-2,,2-2,3-4,,45 min.,61 min.
Argentina - Primera B,Dock Sud,6,4-3,1-1,1-0,2-1,1-1,1-2,,6-4,4-4,,36 min.,44 min.
Argentina - Primera B,Excursionistas,6,1-0,2-0,2-0,0-1,0-0,2-2,,5-0,2-3,,44 min.,80 min.
Argentina - Primera B,Fenix,6,1-2,0-0,0-2,1-1,0-0,1-1,,1-4,2-2,,49 min.,37 min.
Argentina - Primera B,Flandria,7,0-0,1-1,0-1,3-0,2-1,0-2,,1-2,5-3,,57 min.,57 min.
Argentina - Primera B,Liniers,6,1-0,1-0,1-0,1-2,2-0,6-1,,3-0,9-3,,63 min.,67 min.
Argentina - Primera B,Midland,6,1-0,1-0,1-0,1-1,2-0,1-0,,3-0,4-1,,52 min.,52 min.
Argentina - Primera B,Real Pilar,6,1-1,1-1,2-0,1-1,3-1,4-1,,4-2,8-3,,59 min.,49 min.
Argentina - Primera B,S. Italiano,6,0-0,0-1,0-0,0-1,1-2,1-1,,0-1,2-4,,80 min.,60 min.
Argentina - Primera B,Sacachispas,6,0-2,1-1,1-1,1-0,1-1,1-3,,2-4,3-4,,54 min.,52 min.
Argentina - Primera B,SM Burzaco,6,0-0,1-0,3-1,0-0,1-0,1-2,,4-1,2-2,,50 min.,75 min.
Argentina - Primera B,UAI Urquiza,6,1-1,1-3,1-0,1-2,1-0,1-2,,3-4,3-4,,47 min.,46 min.
Argentina - Primera B,V. San Carlos,6,2-1,2-0,3-1,1-0,2-1,2-3,,7-2,5-4,,43 min.,60 min.
Argentina - Primera B,Villa Dalmine,7,1-2,1-2,2-1,1-0,2-1,1-1,,4-5,4-2,,47 min.,36 min.
Argentina - Primera B,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,'31-45' and '76-90' also include added time,
Armenia - Premier League,Home,GP,0-15,16-30,31-45,46-60,61-75,76-90,,1st H.,2nd H.,,AVG min. scored,AVG min. conceded
Armenia - Premier League,Alashkert,13,2-2,0-3,1-4,1-5,4-2,4-9,,3-9,9-16,,61 min.,57 min.
Armenia - Premier League,Ararat Yerevan,13,3-2,4-6,1-2,1-5,2-1,4-4,,8-10,7-10,,48 min.,47 min.
Armenia - Premier League,Ararat-Armenia,12,4-1,3-4,6-0,1-2,4-2,9-3,,13-5,14-7,,53 min.,49 min.
Armenia - Premier League,BKMA,13,2-4,2-3,4-4,4-7,3-1,3-3,,8-11,10-11,,51 min.,44 min.
Armenia - Premier League,Gandzasar,11,0-3,1-4,1-5,1-3,0-7,0-12,,2-12,1-22,,41 min.,58 min.
Armenia - Premier League,Noah,13,6-0,8-0,6-3,8-0,10-0,11-1,,20-3,29-1,,52 min.,50 min.
Armenia - Premier League,Pyunik,13,3-1,4-2,2-3,3-2,4-5,5-4,,9-6,12-11,,51 min.,55 min.
