League_Name,Team_Overall,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
Argentina - Liga Profesional,Aldosivi,16.0,2.88,100%,81%,56%,31%,12%,6%,44%,12%,44%,12%,44%
Argentina - Liga Profesional,Central Cordoba,16.0,2.69,94%,75%,56%,25%,12%,6%,50%,31%,25%,25%,19%
Argentina - Liga Profesional,Racing Club,16.0,2.63,100%,69%,44%,31%,19%,0%,44%,38%,19%,38%,19%
Argentina - Liga Profesional,Defensa y J.,16.0,2.5,94%,69%,44%,25%,19%,0%,50%,31%,25%,25%,19%
Argentina - Liga Profesional,A. Tucuman,16.0,2.38,100%,62%,44%,19%,12%,0%,38%,25%,38%,25%,38%
Argentina - Liga Profesional,Barracas C.,16.0,2.38,94%,69%,44%,19%,6%,6%,56%,31%,19%,25%,12%
Argentina - Liga Profesional,Estudiantes,16.0,2.31,88%,69%,38%,31%,6%,0%,44%,31%,38%,19%,25%
Argentina - Liga Profesional,I. Rivadavia,16.0,2.31,88%,75%,38%,19%,12%,0%,50%,38%,25%,25%,12%
Argentina - Liga Profesional,Belgrano,16.0,2.25,88%,81%,31%,25%,0%,0%,50%,31%,31%,19%,19%
Argentina - Liga Profesional,Instituto,16.0,2.25,94%,69%,38%,12%,12%,0%,31%,31%,44%,25%,38%
Argentina - Liga Profesional,Boca Juniors,16.0,2.19,94%,75%,38%,12%,0%,0%,38%,50%,19%,44%,12%
Argentina - Liga Profesional,Independiente,16.0,2.19,88%,81%,31%,12%,6%,0%,38%,44%,31%,31%,19%
Argentina - Liga Profesional,Argentinos Jrs,16.0,2.06,81%,62%,31%,19%,12%,0%,38%,56%,25%,38%,6%
Argentina - Liga Profesional,Banfield,16.0,2.06,88%,56%,38%,19%,6%,0%,50%,25%,38%,12%,25%
Argentina - Liga Profesional,Huracan,16.0,1.94,88%,69%,19%,6%,6%,6%,38%,50%,25%,38%,12%
Argentina - Liga Profesional,River Plate,16.0,1.88,81%,62%,25%,12%,6%,0%,38%,56%,25%,38%,6%
Argentina - Liga Profesional,Rosario Central,16.0,1.88,75%,50%,50%,12%,0%,0%,38%,56%,31%,31%,6%
Argentina - Liga Profesional,Sarmiento,16.0,1.88,81%,62%,25%,12%,6%,0%,50%,25%,44%,6%,25%
Argentina - Liga Profesional,Tigre,16.0,1.88,88%,56%,31%,6%,6%,0%,31%,44%,38%,31%,25%
Argentina - Liga Profesional,Velez Sarsfield,16.0,1.81,88%,50%,31%,6%,6%,0%,19%,31%,62%,19%,50%
Argentina - Liga Profesional,Union Santa Fe,16.0,1.75,88%,50%,25%,12%,0%,0%,44%,25%,44%,12%,31%
Argentina - Liga Profesional,Gimnasia,16.0,1.69,88%,56%,25%,0%,0%,0%,19%,38%,56%,25%,44%
Argentina - Liga Profesional,Newells,16.0,1.69,88%,62%,19%,0%,0%,0%,25%,38%,50%,25%,38%
Argentina - Liga Profesional,Godoy Cruz,16.0,1.63,69%,56%,31%,6%,0%,0%,25%,44%,62%,12%,31%
Argentina - Liga Profesional,T. de Cordoba,16.0,1.63,75%,50%,25%,6%,6%,0%,44%,38%,44%,12%,19%
Argentina - Liga Profesional,Lanus,16.0,1.5,75%,50%,12%,6%,6%,0%,38%,44%,44%,19%,19%
Argentina - Liga Profesional,Platense,16.0,1.5,88%,44%,19%,0%,0%,0%,38%,38%,38%,25%,25%
Argentina - Liga Profesional,San Lorenzo,16.0,1.5,75%,44%,19%,6%,6%,0%,31%,56%,38%,31%,12%
Argentina - Liga Profesional,SM San Juan,16.0,1.44,88%,38%,12%,6%,0%,0%,12%,19%,81%,6%,69%
Argentina - Liga Profesional,D. Riestra,16.0,1.25,56%,44%,25%,0%,0%,0%,19%,75%,50%,31%,6%
Argentina - Liga Profesional,,,,,,,,,,,,,,
Argentina - Liga Profesional,League average,,,85.8%,61.3%,32.1%,13.3%,6.3%,0.8%,37.5%,38.3%,38.3%,24.2%,24.2%
Argentina - Primera B,Dock Sud,16.0,2.81,94%,88%,56%,31%,12%,0%,88%,12%,6%,6%,0%
Argentina - Primera B,V. San Carlos,16.0,2.63,100%,81%,56%,19%,6%,0%,69%,19%,12%,19%,12%
Argentina - Primera B,Liniers,15.0,2.6,100%,67%,40%,33%,13%,7%,40%,40%,20%,40%,20%
Argentina - Primera B,Real Pilar,16.0,2.31,81%,62%,44%,31%,6%,6%,44%,38%,38%,19%,19%
Argentina - Primera B,D. Laferrere,16.0,2.13,75%,69%,31%,19%,12%,6%,38%,44%,44%,19%,19%
Argentina - Primera B,Fenix,16.0,2.13,88%,69%,25%,12%,12%,6%,38%,19%,56%,6%,44%
Argentina - Primera B,SM Burzaco,16.0,2.13,94%,75%,31%,6%,6%,0%,50%,25%,31%,19%,25%
Argentina - Primera B,Villa Dalmine,16.0,2.13,81%,75%,25%,19%,12%,0%,50%,31%,38%,12%,19%
Argentina - Primera B,Acassuso,16.0,2.06,94%,69%,38%,6%,0%,0%,56%,31%,19%,25%,12%
Argentina - Primera B,A. Quilmes,17.0,2.06,82%,76%,35%,12%,0%,0%,47%,29%,41%,12%,24%
Argentina - Primera B,Comunicaciones,16.0,2.0,88%,69%,38%,6%,0%,0%,31%,38%,44%,25%,31%
Argentina - Primera B,UAI Urquiza,15.0,2.0,80%,67%,40%,13%,0%,0%,53%,27%,40%,7%,20%
Argentina - Primera B,Argentino Merlo,17.0,1.94,76%,65%,41%,12%,0%,0%,41%,47%,35%,24%,12%
Argentina - Primera B,Excursionistas,15.0,1.93,80%,60%,33%,13%,7%,0%,47%,47%,27%,27%,7%
Argentina - Primera B,Sacachispas,16.0,1.88,75%,69%,31%,12%,0%,0%,44%,31%,50%,6%,25%
Argentina - Primera B,D. Armenio,15.0,1.87,93%,60%,20%,7%,7%,0%,40%,33%,33%,27%,27%
Argentina - Primera B,Deportivo Merlo,17.0,1.76,88%,59%,18%,6%,6%,0%,35%,41%,35%,29%,24%
Argentina - Primera B,Brown de A.,16.0,1.63,81%,56%,25%,0%,0%,0%,31%,50%,38%,31%,19%
Argentina - Primera B,Flandria,16.0,1.56,81%,50%,25%,0%,0%,0%,25%,44%,50%,25%,31%
Argentina - Primera B,Midland,16.0,1.44,75%,50%,19%,0%,0%,0%,19%,69%,38%,44%,12%
Argentina - Primera B,S. Italiano,15.0,1.4,67%,47%,20%,7%,0%,0%,33%,40%,60%,7%,27%
Argentina - Primera B,,,,,,,,,,,,,,
Argentina - Primera B,League average,,,84.4%,65.9%,32.9%,12.6%,4.8%,1.2%,43.7%,35.9%,35.9%,20.4%,20.4%
