Hora,Evento,Competição,Mercado,Matched,Home,Away,The Draw
05:30,Madura Utd v Semen Padang,Indonésia - Liga 1,Match Odds,"$11.739,94",1.74 (57.47%),5.9 (16.95%),3.8 (26.32%)
06:30,Kuala Lumpur FA U23 v Negeri Sembilan U23,Malaysian Matches,Match Odds,"$309,28",2.16 (46.30%),3.7 (27.03%),3.0 (33.33%)
08:00,Portimonense SC U23 v GD Estoril Praia U23,Portugal - Sub23,Match Odds,"$272,28",4.3 (23.26%),1.87 (53.48%),3.7 (27.03%)
08:00,Girona FC U19 v Liverpool U19,UEFA Youth League,Match Odds,"$3.086,34",2.1 (47.62%),3.75 (26.67%),3.55 (28.17%)
08:00,Farense U23 v Santa Clara U23,Portugal - Sub23,Match Odds,"$3.523,83",1.76 (56.82%),4.8 (20.83%),3.85 (25.97%)
09:00,Al-Karmel v Jerash SC,Jordan 1st Division,Match Odds,"$163,45",2.8 (35.71%),2.8 (35.71%),3.05 (32.79%)
09:00,Mathare United FC v Muranga Seal,Kenyan Premier League,Match Odds,"$18,58",2.5 (40.00%),2.92 (34.25%),2.78 (35.97%)
09:00,Persija Jakarta v Pusamania Borneo FC,Indonésia - Liga 1,Match Odds,"$13.215,59",2.26 (44.25%),3.55 (28.17%),3.4 (29.41%)
09:00,Dinamo Zagreb U19 v Celtic U19,UEFA Youth League,Match Odds,"$1.775,23",1.85 (54.05%),3.8 (26.32%),4.4 (22.73%)
10:00,Stade Brestois 29 U19 v PSV Eindhoven U19,UEFA Youth League,Match Odds,"$1.163,06",4.0 (25.00%),1.85 (54.05%),4.4 (22.73%)
10:00,Leverkusen U19 v Inter U19,UEFA Youth League,Match Odds,"$2.667,97",3.2 (31.25%),2.14 (46.73%),3.95 (25.32%)
10:00,Coventry City U21 v Peterborough United U21,English U21 Pro Development League,Match Odds,"$475,10",1.96 (51.02%),3.1 (32.26%),4.6 (21.74%)
10:00,Bournemouth U21 v Charlton U21,English U21 Pro Development League,Match Odds,"$3.932,58",1.73 (57.80%),3.55 (28.17%),5.4 (18.52%)
10:30,Millwall U21 v Ipswich Town U21,English U21 Pro Development League,Match Odds,"$804,96",1.96 (51.02%),3.0 (33.33%),4.6 (21.74%)
11:00,Hull City U21 v Barnsley U21,English U21 Pro Development League,Match Odds,"$962,55",2.16 (46.30%),2.58 (38.76%),4.6 (21.74%)
11:00,Queens Park (Res) v Dundee (Res),Scottish Reserve Matches,Match Odds,"$77,58",1.88 (53.19%),3.5 (28.57%),3.8 (26.32%)
11:30,Club Brugge U19 v Sporting CP U19,UEFA Youth League,Match Odds,"$17.209,06",2.96 (33.78%),2.36 (42.37%),3.9 (25.64%)
11:30,Red Bull Salzburg U19 v Paris St-G U19,UEFA Youth League,Match Odds,"$15.298,47",1.95 (51.28%),3.2 (31.25%),5.1 (19.61%)
12:00,Atalanta U20 v Real Madrid U19,UEFA Youth League,Match Odds,"$819,01",4.1 (24.39%),1.8 (55.56%),4.3 (23.26%)
12:00,Rio Ave FC U23 v SC Uniao Torreense U23,Portugal - Sub23,Match Odds,"$401,41",4.4 (22.73%),1.84 (54.35%),3.75 (26.67%)
12:00,Csikszereda v FC Metaloglobus Bucuresti,Romanian Liga II,Match Odds,"$1.354,28",2.16 (46.30%),3.75 (26.67%),3.05 (32.79%)
14:45,Girona v Liverpool,UEFA Liga dos Campeões,Match Odds,"$1.740.023,50",7.8 (12.82%),1.47 (68.03%),5.2 (19.23%)
14:45,Dinamo Zagreb v Celtic,UEFA Liga dos Campeões,Match Odds,"$1.436.966,16",4.0 (25.00%),2.02 (49.50%),3.85 (25.97%)
16:00,Burton Albion v Stevenage,EFL Trophy,Match Odds,"$192,32",3.15 (31.75%),2.46 (40.65%),3.25 (30.77%)
16:00,Cheltenham v Cambridge Utd,EFL Trophy,Match Odds,"$215,46",2.78 (35.97%),2.56 (39.06%),3.4 (29.41%)
16:00,Chesterfield v Wigan,EFL Trophy,Match Odds,"$26,95",2.72 (36.76%),2.52 (39.68%),3.7 (27.03%)
16:00,Thes Sport v KAA Gent II,Belgian First Amateur Division,Match Odds,"$17,04",2.3 (43.48%),2.72 (36.76%),3.85 (25.97%)
16:00,Charlton v Leyton Orient,EFL Trophy,Match Odds,"$369,83",2.34 (42.74%),3.2 (31.25%),3.45 (28.99%)
16:00,Walsall v Reading,EFL Trophy,Match Odds,"$157,26",2.18 (45.87%),3.3 (30.30%),3.75 (26.67%)
16:00,Doncaster v Port Vale,EFL Trophy,Match Odds,"$539,15",2.06 (48.54%),3.8 (26.32%),3.5 (28.57%)
16:00,Man Utd U19 v AZ Alkmaar U19,UEFA Youth League,Match Odds,"$220,96",1.87 (53.48%),3.95 (25.32%),4.0 (25.00%)
16:00,Stockport v Bradford,EFL Trophy,Match Odds,"$1.881,19",1.82 (54.95%),4.4 (22.73%),4.0 (25.00%)
16:00,Rotherham v Tranmere,EFL Trophy,Match Odds,"$1.243,36",1.75 (57.14%),4.7 (21.28%),4.1 (24.39%)
16:00,Queens Park Rangers U21 v Colchester United U21,English U23 Premier League Cup,Match Odds,"$0,00",1.74 (57.47%),3.65 (27.40%),4.6 (21.74%)
16:00,Wycombe v Swindon,EFL Trophy,Match Odds,"$5.522,03",1.29 (77.52%),10.0 (10.00%),7.0 (14.29%)
16:30,Wrexham v Crewe,EFL Trophy,Match Odds,"$162,77",1.59 (62.89%),5.8 (17.24%),4.2 (23.81%)
16:45,Exeter v Birmingham,EFL Trophy,Match Odds,"$107,65",5.6 (17.86%),1.66 (60.24%),4.2 (23.81%)
16:45,Plymouth v Swansea,Inglaterra - Championship,Match Odds,"$230.158,73",5.0 (20.00%),1.78 (56.18%),4.1 (24.39%)
16:45,Portsmouth v Norwich,Inglaterra - Championship,Match Odds,"$62.789,94",3.45 (28.99%),2.26 (44.25%),3.6 (27.78%)
16:45,Wealdstone v Altrincham,Inglaterra - National League,Match Odds,"$141,04",2.88 (34.72%),2.48 (40.32%),3.55 (28.17%)
16:45,Scarborough Athletic v Brackley Town,English National League North,Match Odds,"$4.824,09",3.1 (32.26%),2.5 (40.00%),3.2 (31.25%)
16:45,FC Halifax Town v Sutton Utd,Inglaterra - National League,Match Odds,"$1.760,59",2.92 (34.25%),2.76 (36.23%),3.2 (31.25%)
16:45,Barry Town Utd v Cardiff Metropolitan,País de Gales - Premiership,Match Odds,"$463,74",2.56 (39.06%),2.7 (37.04%),3.5 (28.57%)
16:45,Darlington v Hereford FC,English National League North,Match Odds,"$475,62",2.6 (38.46%),2.72 (36.76%),3.5 (28.57%)
16:45,Hampton and Richmond v Weston-super-Mare,English National League South,Match Odds,"$597,41",2.34 (42.74%),3.05 (32.79%),3.4 (29.41%)
16:45,Colchester v AFC Wimbledon,EFL Trophy,Match Odds,"$685,25",2.32 (43.10%),3.0 (33.33%),3.6 (27.78%)
16:45,Sheff Wed v Blackburn,Inglaterra - Championship,Match Odds,"$40.701,30",2.4 (41.67%),3.35 (29.85%),3.45 (28.99%)
16:45,Luton v Stoke,Inglaterra - Championship,Match Odds,"$61.038,90",2.16 (46.30%),3.85 (25.97%),3.55 (28.17%)
16:45,Alfreton Town v Marine FC,English National League North,Match Odds,"$5.081,62",2.08 (48.08%),3.85 (25.97%),3.55 (28.17%)
16:45,Bolton v Huddersfield,EFL Trophy,Match Odds,"$1.863,18",2.02 (49.50%),3.55 (28.17%),3.9 (25.64%)
16:45,Sunderland v Bristol City,Inglaterra - Championship,Match Odds,"$149.027,09",1.96 (51.02%),4.7 (21.28%),3.55 (28.17%)
16:45,Solihull Moors v Aldershot,Inglaterra - National League,Match Odds,"$7.446,71",1.93 (51.81%),3.9 (25.64%),4.1 (24.39%)
16:45,Torquay v Horsham FC,English FA Trophy,Match Odds,"$1.103,21",1.81 (55.25%),4.0 (25.00%),4.1 (24.39%)
16:45,AFC Fylde v Ebbsfleet Utd,Inglaterra - National League,Match Odds,"$2.533,34",1.78 (56.18%),4.5 (22.22%),4.0 (25.00%)
16:45,Spartans v Stranraer,Escócia - League 2,Match Odds,"$585,53",1.81 (55.25%),5.0 (20.00%),3.9 (25.64%)
16:45,Burnley v Derby,Inglaterra - Championship,Match Odds,"$338.741,39",1.76 (56.82%),6.4 (15.63%),3.6 (27.78%)
16:45,South Shields v Rushall Olympic,English National League North,Match Odds,"$393,39",1.72 (58.14%),4.7 (21.28%),4.2 (23.81%)
16:45,Forest Green v Dag and Red,Inglaterra - National League,Match Odds,"$201,70",1.24 (80.65%),7.0 (14.29%),3.8 (26.32%)
16:45,Hartlepool v Tamworth FC,English FA Trophy,Match Odds,"$26,24",1.56 (64.10%),5.8 (17.24%),4.3 (23.26%)
16:45,Tonbridge Angels v Enfield Town,English National League South,Match Odds,"$1.032,97",1.56 (64.10%),5.9 (16.95%),4.4 (22.73%)
16:45,Yeovil v Weymouth,English FA Trophy,Match Odds,"$2.006,34",1.54 (64.94%),6.0 (16.67%),4.4 (22.73%)
16:45,Boreham Wood v St Albans,English National League South,Match Odds,"$4.345,02",1.51 (66.23%),6.2 (16.13%),4.4 (22.73%)
16:45,Gateshead v Farsley Celtic,English FA Trophy,Match Odds,"$97,06",1.39 (71.94%),7.0 (14.29%),5.7 (17.54%)
17:00,Red Bull Salzburg v Paris St-G,UEFA Liga dos Campeões,Match Odds,"$958.528,90",12.5 (8.00%),1.3 (76.92%),6.6 (15.15%)
17:00,Brest v PSV,UEFA Liga dos Campeões,Match Odds,"$1.272.672,70",4.6 (21.74%),1.85 (54.05%),4.0 (25.00%)
17:00,Club Brugge v Sporting Lisbon,UEFA Liga dos Campeões,Match Odds,"$258.750,80",3.0 (33.33%),2.5 (40.00%),3.65 (27.40%)
17:00,RB Leipzig v Aston Villa,UEFA Liga dos Campeões,Match Odds,"$240.402,63",2.94 (34.01%),2.62 (38.17%),3.55 (28.17%)
17:00,Atalanta v Real Madrid,UEFA Liga dos Campeões,Match Odds,"$1.722.411,55",2.68 (37.31%),2.74 (36.50%),3.75 (26.67%)
17:00,Leverkusen v Inter,UEFA Liga dos Campeões,Match Odds,"$1.081.387,23",2.34 (42.74%),3.35 (29.85%),3.55 (28.17%)
17:00,Leeds v Middlesbrough,Inglaterra - Championship,Match Odds,"$169.974,52",1.83 (54.64%),5.2 (19.23%),3.75 (26.67%)
20:00,The Strongest v Real Tomayapo,Bolivian Liga de Futbol Profesional,Match Odds,"$8.002,67",1.24 (80.65%),13.0 (7.69%),7.4 (13.51%)
21:00,Union Magdalena v Llaneros FC,Colombian Primera B,Match Odds,"$0,00",1.98 (50.51%),4.0 (25.00%),3.1 (32.26%)
21:30,Oriente Petrolero v Always Ready,Bolivian Liga de Futbol Profesional,Match Odds,"$440,79",2.22 (45.05%),3.6 (27.78%),3.5 (28.57%)
23:00,Deportivo Saprissa v AD San Carlos,Costa Rican Primera Division,Match Odds,"$78,45",1.75 (57.14%),4.7 (21.28%),3.75 (26.67%)
