Equipe,GP,W,D,L,GF,GA,GD,Pts,Liga
NC Magra,6,0,2,4,2,9,-7,2,algeria
Belgrano,8,1,6,1,7,6,1,9,argentina
Rosario Central,8,1,3,4,5,8,-3,6,argentina
Banfield,8,1,3,4,5,9,-4,6,argentina
Boca Juniors,8,1,3,4,5,10,-5,6,argentina
Instituto,8,1,2,5,7,13,-6,5,argentina
D. Riestra,8,0,5,3,5,11,-6,5,argentina
A. Tucuman,8,1,2,5,3,10,-7,5,argentina
I. Rivadavia,8,1,2,5,6,14,-8,5,argentina
Lanus,8,1,2,5,4,12,-8,5,argentina
Union Santa Fe,8,1,2,5,7,16,-9,5,argentina
Sarmiento,8,0,3,5,4,11,-7,3,argentina
Newells,8,0,3,5,4,13,-9,3,argentina
Argentinos Jrs,8,0,1,7,2,11,-9,1,argentina
A. Rafaela,8,1,4,3,6,8,-2,7,argentina3
Deportivo Moron,8,1,4,3,4,8,-4,7,argentina3
Chaco For Ever,8,1,4,3,1,5,-4,7,argentina3
E. Rio Cuarto,8,1,4,3,2,7,-5,7,argentina3
CA Estudiantes,8,1,3,4,5,12,-7,6,argentina3
Colon Santa Fe,8,1,2,5,2,5,-3,5,argentina3
Gandzasar,6,0,2,4,3,15,-12,2,armenia
Rapid Wien,7,1,5,1,5,7,-2,8,austria
Grazer AK,8,1,3,4,10,17,-7,6,austria
Hartberg,6,1,2,3,7,10,-3,5,austria
BW Linz,7,1,2,4,8,15,-7,5,austria
Altach,7,1,1,5,5,11,-6,4,austria
Stripfing,7,0,4,3,4,9,-5,4,austria2
Lafnitz,7,1,1,5,6,17,-11,4,austria2
Sumqayit,6,1,1,4,3,7,-4,4,azerbaijan
Neftci,7,0,4,3,5,12,-7,4,azerbaijan
Kapaz,7,0,1,6,3,17,-14,1,azerbaijan
Sebail,7,0,0,7,6,16,-10,0,azerbaijan
Slavia Mozyr,8,1,4,3,4,9,-5,7,belarus
Arsenal D.,8,1,3,4,7,9,-2,6,belarus
S. Soligorsk,8,1,3,4,3,9,-6,6,belarus
Smorgon,8,0,3,5,7,13,-6,3,belarus
