Equipe_Fora,GP,W,D,L,GF,GA,GD,Pts_Away,Liga,PIA,PIA_HA,GD_Away,GF_AVG_Away,PPG_Away,Odd_Justa_MO,Odd_Justa_HA,Rank_Away
Egnatia R.,8,3,2,3,12,8,4,11,Albania - Abissnet Superiore,0.38,0.62,4,1.5,1.38,2.63,1.61,1
AF Elbasani,8,2,5,1,9,8,1,11,Albania - Abissnet Superiore,0.25,0.75,1,1.12,1.38,4.0,1.33,1
Skenderbeu K.,8,2,3,3,7,6,1,9,Albania - Abissnet Superiore,0.25,0.75,1,0.88,1.12,4.0,1.33,2
Bylis,8,2,3,3,12,14,-2,9,Albania - Abissnet Superiore,0.25,0.75,-2,1.5,1.12,4.0,1.33,2
Dinamo Tirana,8,1,4,3,8,11,-3,7,Albania - Abissnet Superiore,0.12,0.88,-3,1.0,0.88,8.33,1.14,3
Laci,8,2,1,5,6,11,-5,7,Albania - Abissnet Superiore,0.25,0.75,-5,0.75,0.88,4.0,1.33,3
Partizani T.,8,2,1,5,5,10,-5,7,Albania - Abissnet Superiore,0.25,0.75,-5,0.62,0.88,4.0,1.33,3
KF Tirana,8,1,3,4,9,11,-2,6,Albania - Abissnet Superiore,0.12,0.88,-2,1.12,0.75,8.33,1.14,4
Teuta Durres,8,0,4,4,3,10,-7,4,Albania - Abissnet Superiore,0.0,1.0,-7,0.38,0.5,0.0,1.0,5
MC Alger,8,6,2,0,13,3,10,20,Algeria - Ligue 1,0.75,0.25,10,1.62,2.5,1.33,4.0,1
CR Belouizdad,8,4,2,2,9,5,4,14,Algeria - Ligue 1,0.5,0.5,4,1.12,1.75,2.0,2.0,2
Paradou AC,8,3,3,2,10,9,1,12,Algeria - Ligue 1,0.38,0.62,1,1.25,1.5,2.63,1.61,3
El Bayadh,8,3,2,3,5,8,-3,11,Algeria - Ligue 1,0.38,0.62,-3,0.62,1.38,2.63,1.61,4
JS Kabylie,8,1,5,2,8,9,-1,8,Algeria - Ligue 1,0.12,0.88,-1,1.0,1.0,8.33,1.14,5
ES Setif,8,2,2,4,5,7,-2,8,Algeria - Ligue 1,0.25,0.75,-2,0.62,1.0,4.0,1.33,5
ASO Chlef,8,1,4,3,7,10,-3,7,Algeria - Ligue 1,0.12,0.88,-3,0.88,0.88,8.33,1.14,6
USM Alger,8,0,6,2,3,5,-2,6,Algeria - Ligue 1,0.0,1.0,-2,0.38,0.75,0.0,1.0,7
O. Akbou,8,1,3,4,4,7,-3,6,Algeria - Ligue 1,0.12,0.88,-3,0.5,0.75,8.33,1.14,7
CS Constantine,8,1,2,5,4,9,-5,5,Algeria - Ligue 1,0.12,0.88,-5,0.5,0.62,8.33,1.14,8
Khenchela,8,1,2,5,4,16,-12,5,Algeria - Ligue 1,0.12,0.88,-12,0.5,0.62,8.33,1.14,8
Mostaganem,8,1,1,6,4,10,-6,4,Algeria - Ligue 1,0.12,0.88,-6,0.5,0.5,8.33,1.14,9
JS Saoura,8,1,1,6,5,13,-8,4,Algeria - Ligue 1,0.12,0.88,-8,0.62,0.5,8.33,1.14,9
Biskra,8,0,3,5,3,10,-7,3,Algeria - Ligue 1,0.0,1.0,-7,0.38,0.38,0.0,1.0,10
NC Magra,8,0,2,6,3,13,-10,2,Algeria - Ligue 1,0.0,1.0,-10,0.38,0.25,0.0,1.0,11
MC Oran,8,0,1,7,5,16,-11,1,Algeria - Ligue 1,0.0,1.0,-11,0.62,0.12,0.0,1.0,12
Tigre,6,4,0,2,10,6,4,12,Argentina - Liga Profesional,0.67,0.33,4,1.67,2.0,1.49,3.03,1
D. Riestra,6,3,2,1,8,3,5,11,Argentina - Liga Profesional,0.5,0.5,5,1.33,1.83,2.0,2.0,2
Argentinos Jrs,5,3,2,0,7,4,3,11,Argentina - Liga Profesional,0.6,0.4,3,1.4,2.2,1.67,2.5,2
Rosario Central,7,2,4,1,7,4,3,10,Argentina - Liga Profesional,0.29,0.71,3,1.0,1.43,3.45,1.41,3
Defensa y J.,6,3,1,2,8,7,1,10,Argentina - Liga Profesional,0.5,0.5,1,1.33,1.67,2.0,2.0,3
Huracan,6,2,3,1,6,4,2,9,Argentina - Liga Profesional,0.33,0.67,2,1.0,1.5,3.03,1.49,4
San Lorenzo,5,2,2,1,3,2,1,8,Argentina - Liga Profesional,0.4,0.6,1,0.6,1.6,2.5,1.67,5
Independiente,5,2,2,1,6,6,0,8,Argentina - Liga Profesional,0.4,0.6,0,1.2,1.6,2.5,1.67,5
Godoy Cruz,6,2,2,2,5,9,-4,8,Argentina - Liga Profesional,0.33,0.67,-4,0.83,1.33,3.03,1.49,5
Barracas C.,5,1,4,0,6,4,2,7,Argentina - Liga Profesional,0.2,0.8,2,1.2,1.4,5.0,1.25,6
River Plate,5,1,4,0,3,1,2,7,Argentina - Liga Profesional,0.2,0.8,2,0.6,1.4,5.0,1.25,6
Platense,5,2,1,2,5,4,1,7,Argentina - Liga Profesional,0.4,0.6,1,1.0,1.4,2.5,1.67,6
Boca Juniors,5,2,1,2,5,5,0,7,Argentina - Liga Profesional,0.4,0.6,0,1.0,1.4,2.5,1.67,6
I. Rivadavia,5,2,1,2,4,4,0,7,Argentina - Liga Profesional,0.4,0.6,0,0.8,1.4,2.5,1.67,6
T. de Cordoba,6,1,4,1,2,2,0,7,Argentina - Liga Profesional,0.17,0.83,0,0.33,1.17,5.88,1.2,6
Racing Club,7,2,1,4,8,10,-2,7,Argentina - Liga Profesional,0.29,0.71,-2,1.14,1.0,3.45,1.41,6
Estudiantes,6,1,3,2,7,7,0,6,Argentina - Liga Profesional,0.17,0.83,0,1.17,1.0,5.88,1.2,7
Lanus,6,1,3,2,4,5,-1,6,Argentina - Liga Profesional,0.17,0.83,-1,0.67,1.0,5.88,1.2,7
Central Cordoba,4,1,1,2,8,9,-1,4,Argentina - Liga Profesional,0.25,0.75,-1,2.0,1.0,4.0,1.33,8
A. Tucuman,6,1,1,4,4,9,-5,4,Argentina - Liga Profesional,0.17,0.83,-5,0.67,0.67,5.88,1.2,8
Newells,5,1,1,3,3,9,-6,4,Argentina - Liga Profesional,0.2,0.8,-6,0.6,0.8,5.0,1.25,8
Gimnasia,6,1,1,4,2,8,-6,4,Argentina - Liga Profesional,0.17,0.83,-6,0.33,0.67,5.88,1.2,8
Velez Sarsfield,5,1,1,3,2,9,-7,4,Argentina - Liga Profesional,0.2,0.8,-7,0.4,0.8,5.0,1.25,8
Aldosivi,5,1,0,4,3,6,-3,3,Argentina - Liga Profesional,0.2,0.8,-3,0.6,0.6,5.0,1.25,9
Banfield,5,1,0,4,2,6,-4,3,Argentina - Liga Profesional,0.2,0.8,-4,0.4,0.6,5.0,1.25,9
SM San Juan,5,0,2,3,1,4,-3,2,Argentina - Liga Profesional,0.0,1.0,-3,0.2,0.4,0.0,1.0,10
Sarmiento,6,0,2,4,3,12,-9,2,Argentina - Liga Profesional,0.0,1.0,-9,0.5,0.33,0.0,1.0,10
Belgrano,5,0,2,3,2,12,-10,2,Argentina - Liga Profesional,0.0,1.0,-10,0.4,0.4,0.0,1.0,10
Instituto,6,0,1,5,1,10,-9,1,Argentina - Liga Profesional,0.0,1.0,-9,0.17,0.17,0.0,1.0,11
E. Rio Cuarto,5,3,1,1,8,4,4,10,Argentina - Primera Nacional,0.6,0.4,4,1.6,2.0,1.67,2.5,1
Chacarita J.,5,3,1,1,6,2,4,10,Argentina - Primera Nacional,0.6,0.4,4,1.2,2.0,1.67,2.5,1
SM Tucuman,5,2,3,0,3,1,2,9,Argentina - Primera Nacional,0.4,0.6,2,0.6,1.8,2.5,1.67,2
Gimnasia Jujuy,4,2,2,0,5,1,4,8,Argentina - Primera Nacional,0.5,0.5,4,1.25,2.0,2.0,2.0,3
G. Mendoza,4,2,2,0,4,1,3,8,Argentina - Primera Nacional,0.5,0.5,3,1.0,2.0,2.0,2.0,3
CA Estudiantes,4,2,1,1,3,2,1,7,Argentina - Primera Nacional,0.5,0.5,1,0.75,1.75,2.0,2.0,4
D. de Belgrano,5,1,3,1,4,2,2,6,Argentina - Primera Nacional,0.2,0.8,2,0.8,1.2,5.0,1.25,5
San Telmo,5,1,3,1,6,5,1,6,Argentina - Primera Nacional,0.2,0.8,1,1.2,1.2,5.0,1.25,5
