Equipe_Fora,GP,W,D,L,GF,GA,GD,Pts_Away,Liga,PIA,PIA_HA,GD_Away,GF_AVG_Away,Odd_Justa_MO,Odd_Justa_HA,Rank_Away
Egnatia R.,8,3,2,3,12,8,4,11,Albania - Abissnet Superiore,0.38,0.62,4,1.5,2.63,1.61,1
Dinamo Tirana,8,2,4,2,11,10,1,10,Albania - Abissnet Superiore,0.25,0.75,1,1.38,4.0,1.33,2
Skenderbeu K.,8,2,3,3,7,6,1,9,Albania - Abissnet Superiore,0.25,0.62,1,0.88,4.0,1.61,3
AF Elbasani,8,1,5,2,9,11,-2,8,Albania - Abissnet Superiore,0.12,0.75,-2,1.12,8.33,1.33,4
Bylis,8,2,2,4,11,15,-4,8,Albania - Abissnet Superiore,0.25,0.5,-4,1.38,4.0,2.0,4
Partizani T.,8,2,2,4,5,9,-4,8,Albania - Abissnet Superiore,0.25,0.5,-4,0.62,4.0,2.0,4
Laci,8,2,1,5,7,12,-5,7,Albania - Abissnet Superiore,0.25,0.38,-5,0.88,4.0,2.63,5
KF Tirana,8,1,3,4,9,11,-2,6,Albania - Abissnet Superiore,0.12,0.5,-2,1.12,8.33,2.0,6
Teuta Durres,8,0,2,6,4,14,-10,2,Albania - Abissnet Superiore,0.0,0.25,-10,0.5,0.0,4.0,7
MC Alger,8,6,2,0,13,3,10,20,Algeria - Ligue 1,0.75,1.0,10,1.62,1.33,1.0,1
CR Belouizdad,8,4,2,2,9,5,4,14,Algeria - Ligue 1,0.5,0.75,4,1.12,2.0,1.33,2
Paradou AC,8,3,3,2,10,9,1,12,Algeria - Ligue 1,0.38,0.75,1,1.25,2.63,1.33,3
El Bayadh,8,3,1,4,5,9,-4,10,Algeria - Ligue 1,0.38,0.5,-4,0.62,2.63,2.0,4
JS Kabylie,8,1,5,2,8,9,-1,8,Algeria - Ligue 1,0.12,0.75,-1,1.0,8.33,1.33,5
USM Alger,8,1,5,2,3,4,-1,8,Algeria - Ligue 1,0.12,0.75,-1,0.38,8.33,1.33,5
ES Setif,8,2,2,4,5,7,-2,8,Algeria - Ligue 1,0.25,0.5,-2,0.62,4.0,2.0,5
ASO Chlef,8,1,4,3,7,10,-3,7,Algeria - Ligue 1,0.12,0.62,-3,0.88,8.33,1.61,6
O. Akbou,8,1,3,4,4,7,-3,6,Algeria - Ligue 1,0.12,0.5,-3,0.5,8.33,2.0,7
CS Constantine,8,1,2,5,4,9,-5,5,Algeria - Ligue 1,0.12,0.38,-5,0.5,8.33,2.63,8
Khenchela,8,1,2,5,4,16,-12,5,Algeria - Ligue 1,0.12,0.38,-12,0.5,8.33,2.63,8
Mostaganem,8,1,1,6,4,10,-6,4,Algeria - Ligue 1,0.12,0.25,-6,0.5,8.33,4.0,9
JS Saoura,8,1,1,6,5,13,-8,4,Algeria - Ligue 1,0.12,0.25,-8,0.62,8.33,4.0,9
Biskra,8,0,3,5,3,10,-7,3,Algeria - Ligue 1,0.0,0.38,-7,0.38,0.0,2.63,10
NC Magra,8,0,2,6,3,13,-10,2,Algeria - Ligue 1,0.0,0.25,-10,0.38,0.0,4.0,11
