league,Team_Away,AVG_min_scored,AVG_min_conceded
Argentina - Liga Profesional,A. Tucuman,36.0,53.0
Argentina - Liga Profesional,Aldosivi,60.0,46.0
Argentina - Liga Profesional,Argentinos Jrs,46.0,56.0
Argentina - Liga Profesional,Banfield,72.0,55.0
Argentina - Liga Profesional,Barracas C.,60.0,48.0
Argentina - Liga Profesional,Belgrano,46.0,55.0
Argentina - Liga Profesional,Boca Juniors,47.0,46.0
Argentina - Liga Profesional,Central Cordoba,69.0,59.0
Argentina - Liga Profesional,D. Riestra,49.0,77.0
Argentina - Liga Profesional,Defensa y J.,45.0,44.0
Argentina - Liga Profesional,Estudiantes,63.0,58.0
Argentina - Liga Profesional,Gimnasia,22.0,56.0
Argentina - Liga Profesional,Godoy Cruz,40.0,42.0
Argentina - Liga Profesional,Huracan,43.0,42.0
Argentina - Liga Profesional,I. Rivadavia,54.0,60.0
Argentina - Liga Profesional,Independiente,44.0,53.0
Argentina - Liga Profesional,Instituto,56.0,60.0
Argentina - Liga Profesional,Lanus,70.0,54.0
Argentina - Liga Profesional,Newells,33.0,47.0
Argentina - Liga Profesional,Platense,42.0,73.0
Argentina - Liga Profesional,Racing Club,49.0,52.0
Argentina - Liga Profesional,River Plate,59.0,28.0
Argentina - Liga Profesional,Rosario Central,44.0,44.0
Argentina - Liga Profesional,San Lorenzo,72.0,46.0
Argentina - Liga Profesional,Sarmiento,52.0,28.0
Argentina - Liga Profesional,SM San Juan,15.0,67.0
Argentina - Liga Profesional,T. de Cordoba,39.0,68.0
Argentina - Liga Profesional,Tigre,50.0,43.0
Argentina - Liga Profesional,Union Santa Fe,67.0,41.0
Argentina - Liga Profesional,Velez Sarsfield,38.0,43.0
Argentina - Primera B,A. Quilmes,52.0,51.0
Argentina - Primera B,Acassuso,50.0,47.0
Argentina - Primera B,Argentino Merlo,70.0,64.0
Argentina - Primera B,Brown de A.,54.0,53.0
Argentina - Primera B,Comunicaciones,39.0,59.0
Argentina - Primera B,D. Armenio,63.0,60.0
Argentina - Primera B,D. Laferrere,70.0,46.0
Argentina - Primera B,Deportivo Merlo,53.0,29.0
Argentina - Primera B,Dock Sud,50.0,50.0
Argentina - Primera B,Excursionistas,49.0,57.0
Argentina - Primera B,Fenix,32.0,51.0
Argentina - Primera B,Flandria,40.0,23.0
Argentina - Primera B,Liniers,54.0,46.0
Argentina - Primera B,Midland,58.0,36.0
Argentina - Primera B,Real Pilar,55.0,59.0
Argentina - Primera B,S. Italiano,68.0,70.0
Argentina - Primera B,Sacachispas,54.0,48.0
Argentina - Primera B,SM Burzaco,55.0,60.0
Argentina - Primera B,UAI Urquiza,68.0,50.0
Argentina - Primera B,V. San Carlos,46.0,42.0
Argentina - Primera B,Villa Dalmine,36.0,66.0
Armenia - Premier League,Alashkert,34.0,49.0
Armenia - Premier League,Ararat Yerevan,54.0,52.0
Armenia - Premier League,Ararat-Armenia,53.0,45.0
Armenia - Premier League,BKMA,52.0,43.0
Armenia - Premier League,Gandzasar,35.0,55.0
Armenia - Premier League,Noah,49.0,55.0
Armenia - Premier League,Pyunik,52.0,49.0
Armenia - Premier League,Shirak,57.0,53.0
