Team,Matches,Perc.,W,D,L,Goals,Pts,PPG,League
Tigre,3 out of 7,43%,3,0,0,8 - 2,9,3.00,argentina
Huracan,3 out of 7,43%,3,0,0,5 - 1,9,3.00,argentina
San Lorenzo,3 out of 7,43%,3,0,0,4 - 0,9,3.00,argentina
I. Rivadavia,2 out of 7,29%,2,0,0,4 - 0,6,3.00,argentina
Newells,2 out of 7,29%,2,0,0,4 - 1,6,3.00,argentina
Barracas C.,1 out of 6,17%,1,0,0,3 - 1,3,3.00,argentina
Lanus,1 out of 7,14%,1,0,0,1 - 0,3,3.00,argentina
Sarmiento,1 out of 7,14%,1,0,0,1 - 0,3,3.00,argentina
Gimnasia,1 out of 7,14%,1,0,0,1 - 0,3,3.00,argentina
Banfield,1 out of 7,14%,1,0,0,1 - 0,3,3.00,argentina
Boca Juniors,4 out of 6,67%,3,1,0,8 - 2,10,2.50,argentina
River Plate,3 out of 7,43%,2,1,0,6 - 1,7,2.33,argentina
Rosario Central,3 out of 8,38%,2,1,0,7 - 3,7,2.33,argentina
Godoy Cruz,3 out of 7,43%,2,1,0,5 - 2,7,2.33,argentina
Argentinos Jrs,3 out of 6,50%,2,1,0,5 - 3,7,2.33,argentina
Defensa y J.,5 out of 8,62%,3,2,0,9 - 2,11,2.20,argentina
D. Riestra,5 out of 7,71%,3,1,1,8 - 3,10,2.00,argentina
Platense,5 out of 7,71%,3,1,1,6 - 3,10,2.00,argentina
Aldosivi,2 out of 6,33%,1,1,0,5 - 3,4,2.00,argentina
A. Tucuman,2 out of 7,29%,1,1,0,2 - 1,4,2.00,argentina
Racing Club,4 out of 8,50%,2,1,1,5 - 3,7,1.75,argentina
Estudiantes,3 out of 8,38%,1,2,0,6 - 4,5,1.67,argentina
Independiente,3 out of 6,50%,1,2,0,4 - 3,5,1.67,argentina
T. de Cordoba,3 out of 7,43%,1,2,0,3 - 2,5,1.67,argentina
Velez Sarsfield,2 out of 7,29%,1,0,1,2 - 2,3,1.50,argentina
Belgrano,2 out of 6,33%,1,0,1,2 - 3,3,1.50,argentina
SM San Juan,1 out of 6,17%,0,1,0,1 - 1,1,1.00,argentina
Union Santa Fe,0 out of 6,0%,0,0,0,0 - 0,0,0,argentina
Central Cordoba,2 out of 6,33%,0,0,2,3 - 5,0,0.00,argentina
Instituto,1 out of 8,12%,0,0,1,1 - 4,0,0.00,argentina
League total,74,,,,,,160,2.16,argentina
,Matches,Perc.,W,D,L,Goals,Pts,PPG,argentina3
Chacarita J.,4 out of 6,67%,4,0,0,8 - 0,12,3.00,argentina3
D. de Belgrano,2 out of 6,33%,2,0,0,5 - 1,6,3.00,argentina3
Gimnasia Jujuy,2 out of 5,40%,2,0,0,4 - 0,6,3.00,argentina3
Temperley,1 out of 5,20%,1,0,0,3 - 0,3,3.00,argentina3
Atletico Mitre,2 out of 5,40%,2,0,0,3 - 0,6,3.00,argentina3
G. Mendoza,2 out of 5,40%,2,0,0,3 - 0,6,3.00,argentina3
Racing Cordoba,2 out of 5,40%,2,0,0,3 - 1,6,3.00,argentina3
Chaco For Ever,1 out of 5,20%,1,0,0,2 - 0,3,3.00,argentina3
Defensores U.,1 out of 6,17%,1,0,0,1 - 0,3,3.00,argentina3
Colegiales,1 out of 5,20%,1,0,0,1 - 0,3,3.00,argentina3
Gimnasia y Tiro,1 out of 6,17%,1,0,0,1 - 0,3,3.00,argentina3
Quilmes,1 out of 5,20%,1,0,0,1 - 0,3,3.00,argentina3
Tristan Suarez,1 out of 6,17%,1,0,0,1 - 0,3,3.00,argentina3
Ferro Carril,1 out of 5,20%,1,0,0,1 - 0,3,3.00,argentina3
SM Tucuman,4 out of 6,67%,3,1,0,5 - 1,10,2.50,argentina3
CA Estudiantes,4 out of 6,67%,3,1,0,4 - 1,10,2.50,argentina3
E. Rio Cuarto,3 out of 6,50%,2,1,0,5 - 1,7,2.33,argentina3
Patronato,3 out of 6,50%,2,1,0,5 - 2,7,2.33,argentina3
San Telmo,3 out of 6,50%,2,1,0,4 - 1,7,2.33,argentina3
Deportivo Maipu,2 out of 6,33%,1,1,0,2 - 1,4,2.00,argentina3
Los Andes,2 out of 5,40%,1,1,0,2 - 1,4,2.00,argentina3
Deportivo Moron,3 out of 6,50%,1,2,0,4 - 3,5,1.67,argentina3
Colon Santa Fe,2 out of 5,40%,1,0,1,3 - 3,3,1.50,argentina3
Nueva Chicago,2 out of 4,50%,1,0,1,2 - 2,3,1.50,argentina3
Arsenal Sarandi,2 out of 5,40%,0,2,0,2 - 2,2,1.00,argentina3
Central Norte,1 out of 5,20%,0,1,0,1 - 1,1,1.00,argentina3
All Boys,1 out of 6,17%,0,1,0,1 - 1,1,1.00,argentina3
D. Madryn,1 out of 6,17%,0,1,0,1 - 1,1,1.00,argentina3
CA Guemes,1 out of 6,17%,0,1,0,1 - 1,1,1.00,argentina3
Agropecuario,2 out of 5,40%,0,1,1,2 - 3,1,0.50,argentina3
Almagro,4 out of 5,80%,0,2,2,5 - 8,2,0.50,argentina3
T. Remedios,0 out of 6,0%,0,0,0,0 - 0,0,0,argentina3
Alvarado,0 out of 6,0%,0,0,0,0 - 0,0,0,argentina3
Atlanta,0 out of 4,0%,0,0,0,0 - 0,0,0,argentina3
San Miguel,0 out of 5,0%,0,0,0,0 - 0,0,0,argentina3
Almirante Brown,1 out of 5,20%,0,0,1,2 - 5,0,0.00,argentina3
League total,63,,,,,,135,2.14,argentina3
,Matches,Perc.,W,D,L,Goals,Pts,PPG,australia
Wellington,3 out of 12,25%,3,0,0,7 - 1,9,3.00,australia
Sydney FC,4 out of 11,36%,4,0,0,10 - 5,12,3.00,australia
Central Coast,2 out of 13,15%,2,0,0,6 - 2,6,3.00,australia
Auckland,8 out of 12,67%,7,1,0,16 - 3,22,2.75,australia
WS Wanderers,5 out of 11,45%,4,1,0,10 - 2,13,2.60,australia
Melbourne City,9 out of 13,69%,6,3,0,19 - 7,21,2.33,australia
Western United,6 out of 13,46%,4,1,1,20 - 10,13,2.17,australia
Newcastle Jets,6 out of 12,50%,4,1,1,13 - 7,13,2.17,australia
Adelaide Utd,6 out of 12,50%,4,1,1,15 - 10,13,2.17,australia
Macarthur FC,7 out of 13,54%,5,0,2,17 - 12,15,2.14,australia
Melbourne V.,6 out of 12,50%,4,0,2,15 - 11,12,2.00,australia
Brisbane Roar,3 out of 12,25%,1,1,1,10 - 10,4,1.33,australia
Perth Glory,3 out of 11,27%,1,1,1,4 - 6,4,1.33,australia
League total,68,,,,,,157,2.31,australia
,Matches,Perc.,W,D,L,Goals,Pts,PPG,austria
Austria Wien,7 out of 11,64%,5,2,0,11 - 4,17,2.43,austria
Wolfsberger AC,6 out of 11,55%,4,1,1,16 - 7,13,2.17,austria
Sturm Graz,8 out of 11,73%,5,2,1,15 - 9,17,2.13,austria
Hartberg,4 out of 11,36%,2,2,0,9 - 5,8,2.00,austria
Grazer AK,2 out of 11,18%,1,1,0,3 - 2,4,2.00,austria
Salzburg,6 out of 11,55%,3,2,1,9 - 7,11,1.83,austria
A. Klagenfurt,4 out of 11,36%,2,1,1,4 - 3,7,1.75,austria
Tirol,6 out of 11,55%,3,1,2,12 - 9,10,1.67,austria
BW Linz,7 out of 11,64%,3,2,2,9 - 11,11,1.57,austria
Altach,3 out of 11,27%,1,1,1,5 - 4,4,1.33,austria
Rapid Wien,3 out of 11,27%,1,1,1,3 - 3,4,1.33,austria
LASK Linz,3 out of 11,27%,1,0,2,4 - 5,3,1.00,austria
League total,59,,,,,,109,1.85,austria
,Matches,Perc.,W,D,L,Goals,Pts,PPG,austria2
Ried,9 out of 13,69%,9,0,0,18 - 1,27,3.00,austria2
SV Horn,3 out of 12,25%,3,0,0,6 - 1,9,3.00,austria2
Kapfenberger,5 out of 13,38%,4,1,0,8 - 3,13,2.60,austria2
Liefering,7 out of 12,58%,6,0,1,13 - 8,18,2.57,austria2
Admira Wacker,10 out of 13,77%,8,0,2,20 - 11,24,2.40,austria2
St. Polten,9 out of 13,69%,7,0,2,22 - 10,21,2.33,austria2
First Vienna,6 out of 11,55%,4,2,0,12 - 7,14,2.33,austria2
A. Lustenau,6 out of 13,46%,4,2,0,9 - 4,14,2.33,austria2
Bregenz,5 out of 12,42%,3,2,0,11 - 5,11,2.20,austria2
Rapid Wien B,4 out of 12,33%,2,2,0,9 - 7,8,2.00,austria2
Voitsberg,7 out of 12,58%,4,1,2,15 - 7,13,1.86,austria2
Floridsdorfer,6 out of 13,46%,3,1,2,10 - 7,10,1.67,austria2
Sturm Graz B,8 out of 12,67%,3,3,2,16 - 11,12,1.50,austria2
Lafnitz,2 out of 13,15%,1,0,1,4 - 6,3,1.50,austria2
Amstetten,5 out of 12,42%,2,1,2,8 - 7,7,1.40,austria2
Stripfing,5 out of 13,38%,0,4,1,6 - 7,4,0.80,austria2
League total,97,,,,,,208,2.14,austria2
