,Matches,Perc.,W,D,L,Goals,Pts,PPG,argentina
Independiente,6 out of 7,86%,6,0,0,15 - 1,18,3.00,argentina
Boca Juniors,6 out of 7,86%,6,0,0,12 - 2,18,3.00,argentina
Racing Club,3 out of 5,60%,3,0,0,10 - 1,9,3.00,argentina
Instituto,4 out of 6,67%,4,0,0,9 - 0,12,3.00,argentina
Central Cordoba,4 out of 8,50%,4,0,0,9 - 0,12,3.00,argentina
Huracan,4 out of 6,67%,4,0,0,7 - 0,12,3.00,argentina
Rosario Central,4 out of 5,80%,4,0,0,8 - 3,12,3.00,argentina
River Plate,4 out of 7,57%,4,0,0,5 - 0,12,3.00,argentina
Union Santa Fe,3 out of 7,43%,3,0,0,5 - 1,9,3.00,argentina
Newells,2 out of 7,29%,2,0,0,3 - 0,6,3.00,argentina
Lanus,1 out of 6,17%,1,0,0,2 - 0,3,3.00,argentina
D. Riestra,1 out of 6,17%,1,0,0,1 - 0,3,3.00,argentina
Velez Sarsfield,1 out of 7,14%,1,0,0,1 - 0,3,3.00,argentina
Argentinos Jrs,5 out of 7,71%,4,1,0,9 - 2,13,2.60,argentina
Estudiantes,4 out of 6,67%,3,1,0,7 - 2,10,2.50,argentina
San Lorenzo,4 out of 7,57%,3,1,0,6 - 3,10,2.50,argentina
Tigre,5 out of 6,83%,4,0,1,7 - 2,12,2.40,argentina
Gimnasia,3 out of 6,50%,2,1,0,5 - 1,7,2.33,argentina
Platense,3 out of 7,43%,2,1,0,4 - 2,7,2.33,argentina
Barracas C.,6 out of 7,86%,4,1,1,10 - 7,13,2.17,argentina
A. Tucuman,3 out of 6,50%,2,0,1,9 - 4,6,2.00,argentina
Belgrano,4 out of 7,57%,2,2,0,6 - 2,8,2.00,argentina
I. Rivadavia,2 out of 6,33%,1,1,0,3 - 1,4,2.00,argentina
Aldosivi,2 out of 7,29%,1,1,0,4 - 3,4,2.00,argentina
T. de Cordoba,2 out of 6,33%,1,0,1,4 - 3,3,1.50,argentina
Defensa y J.,3 out of 6,50%,1,1,1,3 - 3,4,1.33,argentina
Banfield,4 out of 7,57%,1,2,1,6 - 4,5,1.25,argentina
Godoy Cruz,1 out of 7,14%,0,1,0,1 - 1,1,1.00,argentina
Sarmiento,1 out of 6,17%,0,1,0,1 - 1,1,1.00,argentina
SM San Juan,0 out of 7,0%,0,0,0,0 - 0,0,0,argentina
All Boys,3 out of 5,60%,3,0,0,9 - 2,9,3.00,argentina3
Agropecuario,4 out of 5,80%,4,0,0,8 - 2,12,3.00,argentina3
Atlanta,5 out of 6,83%,5,0,0,7 - 1,15,3.00,argentina3
San Miguel,3 out of 5,60%,3,0,0,6 - 1,9,3.00,argentina3
Temperley,3 out of 5,60%,3,0,0,5 - 0,9,3.00,argentina3
Colon Santa Fe,3 out of 6,50%,3,0,0,6 - 2,9,3.00,argentina3
Chaco For Ever,3 out of 6,50%,3,0,0,5 - 1,9,3.00,argentina3
Ferro Carril,2 out of 5,40%,2,0,0,4 - 0,6,3.00,argentina3
Los Andes,2 out of 5,40%,2,0,0,4 - 0,6,3.00,argentina3
D. Madryn,3 out of 5,60%,3,0,0,4 - 1,9,3.00,argentina3
Gimnasia Jujuy,2 out of 5,40%,2,0,0,3 - 0,6,3.00,argentina3
D. de Belgrano,2 out of 4,50%,2,0,0,3 - 1,6,3.00,argentina3
Alvarado,1 out of 5,20%,1,0,0,3 - 1,3,3.00,argentina3
Patronato,1 out of 4,25%,1,0,0,3 - 1,3,3.00,argentina3
T. Remedios,1 out of 4,25%,1,0,0,2 - 0,3,3.00,argentina3
Chacarita J.,1 out of 4,25%,1,0,0,2 - 0,3,3.00,argentina3
San Telmo,2 out of 4,50%,2,0,0,2 - 0,6,3.00,argentina3
Tristan Suarez,1 out of 4,25%,1,0,0,2 - 0,3,3.00,argentina3
SM Tucuman,2 out of 4,50%,2,0,0,2 - 0,6,3.00,argentina3
Almagro,2 out of 5,40%,2,0,0,2 - 0,6,3.00,argentina3
CA Estudiantes,1 out of 5,20%,1,0,0,1 - 0,3,3.00,argentina3
Colegiales,1 out of 6,17%,1,0,0,1 - 0,3,3.00,argentina3
Quilmes,5 out of 6,83%,4,1,0,10 - 2,13,2.60,argentina3
Deportivo Moron,4 out of 5,80%,3,1,0,7 - 1,10,2.50,argentina3
G. Mendoza,4 out of 5,80%,3,1,0,6 - 1,10,2.50,argentina3
Central Norte,4 out of 6,67%,3,1,0,6 - 2,10,2.50,argentina3
Atletico Mitre,3 out of 6,50%,2,1,0,5 - 1,7,2.33,argentina3
Deportivo Maipu,3 out of 5,60%,2,1,0,4 - 1,7,2.33,argentina3
E. Rio Cuarto,4 out of 4,100%,2,2,0,4 - 2,8,2.00,argentina3
Racing Cordoba,5 out of 6,83%,2,3,0,8 - 4,9,1.80,argentina3
Gimnasia y Tiro,4 out of 4,100%,2,1,1,4 - 3,7,1.75,argentina3
Almirante Brown,3 out of 5,60%,1,2,0,4 - 2,5,1.67,argentina3
Nueva Chicago,3 out of 5,60%,1,1,1,4 - 3,4,1.33,argentina3
Defensores U.,1 out of 5,20%,0,1,0,2 - 2,1,1.00,argentina3
CA Guemes,2 out of 4,50%,0,2,0,2 - 2,2,1.00,argentina3
Arsenal Sarandi,1 out of 6,17%,0,1,0,1 - 1,1,1.00,argentina3
Melbourne City,7 out of 11,64%,6,1,0,11 - 2,19,2.71,australia
Western United,6 out of 11,55%,5,1,0,16 - 5,16,2.67,australia
WS Wanderers,4 out of 12,33%,3,1,0,12 - 4,10,2.50,australia
Auckland,10 out of 12,83%,7,3,0,25 - 10,24,2.40,australia
Central Coast,3 out of 11,27%,2,1,0,7 - 4,7,2.33,australia
Melbourne V.,7 out of 11,64%,5,1,1,15 - 6,16,2.29,australia
Sydney FC,8 out of 12,67%,5,3,0,24 - 10,18,2.25,australia
Wellington,5 out of 12,42%,2,3,0,7 - 5,9,1.80,australia
Newcastle Jets,8 out of 12,67%,3,3,2,19 - 11,12,1.50,australia
Adelaide Utd,5 out of 12,42%,1,3,1,8 - 8,6,1.20,australia
Macarthur FC,6 out of 11,55%,2,1,3,11 - 8,7,1.17,australia
Perth Glory,6 out of 13,46%,2,1,3,10 - 11,7,1.17,australia
Brisbane Roar,4 out of 11,36%,1,1,2,6 - 10,4,1.00,australia
Wolfsberger AC,4 out of 11,36%,4,0,0,13 - 3,12,3.00,austria
Austria Wien,5 out of 11,45%,5,0,0,11 - 1,15,3.00,austria
Hartberg,4 out of 11,36%,4,0,0,7 - 2,12,3.00,austria
BW Linz,7 out of 11,64%,6,0,1,14 - 4,18,2.57,austria
Sturm Graz,9 out of 11,82%,7,2,0,30 - 9,23,2.56,austria
Rapid Wien,9 out of 11,82%,7,1,1,19 - 6,22,2.44,austria
LASK Linz,4 out of 11,36%,3,0,1,11 - 5,9,2.25,austria
Salzburg,6 out of 11,55%,4,1,1,13 - 4,13,2.17,austria
A. Klagenfurt,6 out of 11,55%,3,2,1,13 - 9,11,1.83,austria
Tirol,2 out of 11,18%,1,0,1,2 - 2,3,1.50,austria
Altach,3 out of 11,27%,1,1,1,5 - 4,4,1.33,austria
Grazer AK,4 out of 11,36%,1,1,2,7 - 8,4,1.00,austria
Rapid Wien B,7 out of 12,58%,7,0,0,19 - 3,21,3.00,austria2
Kapfenberger,6 out of 11,55%,6,0,0,18 - 6,18,3.00,austria2
First Vienna,6 out of 12,50%,6,0,0,13 - 3,18,3.00,austria2
St. Polten,3 out of 11,27%,3,0,0,9 - 1,9,3.00,austria2
